Analysis Type:	PANTHER Overrepresentation Test (release 20160715)
Annotation Version and Release Date:	GO Ontology database  Released 2017-02-28
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Bonferroni correction:	true
Bonferroni count:	8204
GO biological process complete	Homo sapiens - REFLIST (20972)	upload_1 (453)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
regulation of cellular response to heat (GO:1900034)	78	16	1.68	+	9.50	2.74E-07
retina homeostasis (GO:0001895)	70	14	1.51	+	9.26	6.40E-06
regulation of establishment of planar polarity (GO:0090175)	112	22	2.42	+	9.09	1.33E-10
ADP metabolic process (GO:0046031)	46	9	.99	+	9.06	8.23E-03
ERBB signaling pathway (GO:0038127)	82	16	1.77	+	9.03	5.65E-07
regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000058)	104	20	2.25	+	8.90	3.05E-09
regulation of cellular amine metabolic process (GO:0033238)	79	15	1.71	+	8.79	3.21E-06
epidermal growth factor receptor signaling pathway (GO:0007173)	58	11	1.25	+	8.78	7.10E-04
nuclear import (GO:0051170)	143	27	3.09	+	8.74	3.47E-13
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	113	21	2.44	+	8.60	1.49E-09
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	104	19	2.25	+	8.46	2.84E-08
regulation of mRNA stability (GO:0043488)	143	26	3.09	+	8.42	3.21E-12
protein import into nucleus (GO:0006606)	123	22	2.66	+	8.28	8.39E-10
protein targeting to nucleus (GO:0044744)	123	22	2.66	+	8.28	8.39E-10
T cell receptor signaling pathway (GO:0050852)	152	27	3.28	+	8.22	1.51E-12
regulation of RNA stability (GO:0043487)	152	27	3.28	+	8.22	1.51E-12
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	96	17	2.07	+	8.20	6.27E-07
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	74	13	1.60	+	8.13	1.17E-04
nucleoside diphosphate phosphorylation (GO:0006165)	57	10	1.23	+	8.12	5.50E-03
protein stabilization (GO:0050821)	137	24	2.96	+	8.11	9.79E-11
single-organism nuclear import (GO:1902593)	126	22	2.72	+	8.08	1.34E-09
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	115	20	2.48	+	8.05	1.84E-08
regulation of cell cycle G2/M phase transition (GO:1902749)	121	21	2.61	+	8.03	5.37E-09
negative regulation of ERBB signaling pathway (GO:1901185)	52	9	1.12	+	8.01	2.21E-02
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	52	9	1.12	+	8.01	2.21E-02
ribonucleoside triphosphate biosynthetic process (GO:0009201)	58	10	1.25	+	7.98	6.42E-03
non-canonical Wnt signaling pathway (GO:0035567)	134	23	2.89	+	7.95	5.33E-10
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	123	21	2.66	+	7.90	7.28E-09
response to heat (GO:0009408)	94	16	2.03	+	7.88	3.97E-06
homotypic cell-cell adhesion (GO:0034109)	53	9	1.14	+	7.86	2.58E-02
purine nucleoside triphosphate biosynthetic process (GO:0009145)	53	9	1.14	+	7.86	2.58E-02
Fc-epsilon receptor signaling pathway (GO:0038095)	178	30	3.84	+	7.80	1.25E-13
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	125	21	2.70	+	7.78	9.83E-09
regulation of DNA-templated transcription in response to stress (GO:0043620)	120	20	2.59	+	7.72	3.90E-08
negative regulation of protein ubiquitination (GO:0031397)	132	22	2.85	+	7.72	3.32E-09
antimicrobial humoral response (GO:0019730)	78	13	1.68	+	7.72	2.14E-04
glial cell development (GO:0021782)	85	14	1.84	+	7.63	7.25E-05
protein import (GO:0017038)	170	28	3.67	+	7.63	2.69E-12
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	142	23	3.07	+	7.50	1.73E-09
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	169	27	3.65	+	7.40	1.89E-11
nucleotide phosphorylation (GO:0046939)	63	10	1.36	+	7.35	1.34E-02
ubiquitin-dependent ERAD pathway (GO:0030433)	63	10	1.36	+	7.35	1.34E-02
regulation of ubiquitin-protein transferase activity (GO:0051438)	120	19	2.59	+	7.33	3.15E-07
Fc receptor signaling pathway (GO:0038093)	242	38	5.23	+	7.27	5.78E-17
positive regulation of canonical Wnt signaling pathway (GO:0090263)	121	19	2.61	+	7.27	3.61E-07
tumor necrosis factor-mediated signaling pathway (GO:0033209)	122	19	2.64	+	7.21	4.14E-07
antigen processing and presentation of exogenous antigen (GO:0019884)	176	27	3.80	+	7.10	4.94E-11
protein localization to nucleus (GO:0034504)	172	26	3.72	+	7.00	2.21E-10
antigen processing and presentation of peptide antigen (GO:0048002)	181	27	3.91	+	6.91	9.53E-11
pyruvate metabolic process (GO:0006090)	68	10	1.47	+	6.81	2.61E-02
NAD metabolic process (GO:0019674)	68	10	1.47	+	6.81	2.61E-02
positive regulation of nucleocytoplasmic transport (GO:0046824)	117	17	2.53	+	6.73	1.20E-05
carbohydrate biosynthetic process (GO:0016051)	124	18	2.68	+	6.72	4.01E-06
nucleoside triphosphate biosynthetic process (GO:0009142)	69	10	1.49	+	6.71	2.96E-02
glucose metabolic process (GO:0006006)	120	17	2.59	+	6.56	1.74E-05
positive regulation of protein import (GO:1904591)	99	14	2.14	+	6.55	4.67E-04
regulation of morphogenesis of an epithelium (GO:1905330)	178	25	3.84	+	6.50	3.42E-09
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	79	11	1.71	+	6.45	1.42E-02
nucleocytoplasmic transport (GO:0006913)	287	39	6.20	+	6.29	2.31E-15
ERAD pathway (GO:0036503)	81	11	1.75	+	6.29	1.80E-02
positive regulation of protein import into nucleus (GO:0042307)	97	13	2.10	+	6.20	2.52E-03
actin-mediated cell contraction (GO:0070252)	83	11	1.79	+	6.14	2.27E-02
nuclear transport (GO:0051169)	295	39	6.37	+	6.12	5.78E-15
actin filament-based movement (GO:0030048)	100	13	2.16	+	6.02	3.54E-03
regulation of protein import (GO:1904589)	172	22	3.72	+	5.92	5.12E-07
positive regulation of protein ubiquitination (GO:0031398)	180	23	3.89	+	5.92	1.91E-07
cornification (GO:0070268)	110	14	2.38	+	5.89	1.65E-03
antigen processing and presentation (GO:0019882)	220	28	4.75	+	5.89	1.38E-09
regulation of protein stability (GO:0031647)	228	29	4.92	+	5.89	5.12E-10
innate immune response-activating signal transduction (GO:0002758)	228	29	4.92	+	5.89	5.12E-10
negative regulation of mitotic cell cycle phase transition (GO:1901991)	190	24	4.10	+	5.85	8.85E-08
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	175	22	3.78	+	5.82	7.06E-07
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)	128	16	2.76	+	5.79	2.85E-04
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	128	16	2.76	+	5.79	2.85E-04
mitochondrial membrane organization (GO:0007006)	105	13	2.27	+	5.73	6.06E-03
cellular response to decreased oxygen levels (GO:0036294)	186	23	4.02	+	5.72	3.61E-07
activation of innate immune response (GO:0002218)	235	29	5.08	+	5.71	1.07E-09
positive regulation of Wnt signaling pathway (GO:0030177)	154	19	3.33	+	5.71	1.85E-05
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	130	16	2.81	+	5.70	3.52E-04
regulation of defense response to virus (GO:0050688)	90	11	1.94	+	5.66	4.83E-02
negative regulation of cell cycle phase transition (GO:1901988)	198	24	4.28	+	5.61	2.03E-07
Fc-gamma receptor signaling pathway (GO:0038094)	132	16	2.85	+	5.61	4.32E-04
positive regulation of cellular protein catabolic process (GO:1903364)	190	23	4.10	+	5.60	5.45E-07
protein folding (GO:0006457)	233	28	5.03	+	5.56	5.32E-09
regulation of cellular ketone metabolic process (GO:0010565)	167	20	3.61	+	5.54	1.15E-05
ribonucleoside triphosphate metabolic process (GO:0009199)	235	28	5.08	+	5.52	6.50E-09
regulation of nucleocytoplasmic transport (GO:0046822)	210	25	4.54	+	5.51	1.14E-07
regulation of protein import into nucleus (GO:0042306)	169	20	3.65	+	5.48	1.40E-05
regulation of protein ubiquitination (GO:0031396)	254	30	5.49	+	5.47	1.21E-09
purine ribonucleoside triphosphate metabolic process (GO:0009205)	229	27	4.95	+	5.46	2.13E-08
ATP metabolic process (GO:0046034)	204	24	4.41	+	5.45	3.70E-07
cellular response to oxygen levels (GO:0071453)	196	23	4.23	+	5.43	9.90E-07
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	196	23	4.23	+	5.43	9.90E-07
cellular response to hypoxia (GO:0071456)	179	21	3.87	+	5.43	6.40E-06
antigen receptor-mediated signaling pathway (GO:0050851)	241	28	5.21	+	5.38	1.17E-08
neutrophil degranulation (GO:0043312)	484	56	10.45	+	5.36	4.51E-20
neutrophil activation involved in immune response (GO:0002283)	485	56	10.48	+	5.35	4.97E-20
glial cell differentiation (GO:0010001)	148	17	3.20	+	5.32	3.56E-04
purine nucleoside triphosphate metabolic process (GO:0009144)	236	27	5.10	+	5.30	4.18E-08
neutrophil activation (GO:0042119)	490	56	10.58	+	5.29	8.03E-20
granulocyte activation (GO:0036230)	491	56	10.61	+	5.28	8.83E-20
regulation of innate immune response (GO:0045088)	395	45	8.53	+	5.27	2.91E-15
leukocyte degranulation (GO:0043299)	504	57	10.89	+	5.24	5.09E-20
neutrophil mediated immunity (GO:0002446)	497	56	10.74	+	5.22	1.56E-19
response to endoplasmic reticulum stress (GO:0034976)	240	27	5.18	+	5.21	6.08E-08
response to hydrogen peroxide (GO:0042542)	107	12	2.31	+	5.19	4.34E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	277	31	5.98	+	5.18	1.88E-09
myeloid cell activation involved in immune response (GO:0002275)	510	57	11.02	+	5.17	8.93E-20
response to reactive oxygen species (GO:0000302)	190	21	4.10	+	5.12	1.80E-05
tissue homeostasis (GO:0001894)	172	19	3.72	+	5.11	1.06E-04
myeloid leukocyte mediated immunity (GO:0002444)	517	57	11.17	+	5.10	1.70E-19
response to topologically incorrect protein (GO:0035966)	173	19	3.74	+	5.08	1.16E-04
negative regulation of canonical Wnt signaling pathway (GO:0090090)	164	18	3.54	+	5.08	2.81E-04
response to unfolded protein (GO:0006986)	155	17	3.35	+	5.08	6.81E-04
response to temperature stimulus (GO:0009266)	155	17	3.35	+	5.08	6.81E-04
nucleoside triphosphate metabolic process (GO:0009141)	258	28	5.57	+	5.02	5.65E-08
platelet activation (GO:0030168)	142	15	3.07	+	4.89	6.21E-03
purine ribonucleoside monophosphate metabolic process (GO:0009167)	247	26	5.34	+	4.87	6.16E-07
hexose metabolic process (GO:0019318)	162	17	3.50	+	4.86	1.26E-03
purine nucleoside monophosphate metabolic process (GO:0009126)	248	26	5.36	+	4.85	6.71E-07
mitochondrial transport (GO:0006839)	229	24	4.95	+	4.85	3.63E-06
anatomical structure homeostasis (GO:0060249)	287	30	6.20	+	4.84	2.47E-08
positive regulation of innate immune response (GO:0045089)	278	29	6.00	+	4.83	6.02E-08
ribonucleoside monophosphate metabolic process (GO:0009161)	259	27	5.59	+	4.83	3.27E-07
gliogenesis (GO:0042063)	193	20	4.17	+	4.80	1.25E-04
myeloid leukocyte activation (GO:0002274)	561	58	12.12	+	4.79	1.45E-18
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	431	44	9.31	+	4.73	3.87E-13
regulation of protein localization to nucleus (GO:1900180)	217	22	4.69	+	4.69	3.51E-05
cellular response to tumor necrosis factor (GO:0071356)	227	23	4.90	+	4.69	1.58E-05
protein targeting (GO:0006605)	428	43	9.24	+	4.65	1.56E-12
negative regulation of cell cycle process (GO:0010948)	260	26	5.62	+	4.63	1.81E-06
regulation of response to biotic stimulus (GO:0002831)	140	14	3.02	+	4.63	2.69E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	401	40	8.66	+	4.62	2.33E-11
leukocyte activation involved in immune response (GO:0002366)	604	60	13.05	+	4.60	1.78E-18
nucleoside monophosphate metabolic process (GO:0009123)	272	27	5.88	+	4.60	9.51E-07
cell activation involved in immune response (GO:0002263)	606	60	13.09	+	4.58	2.09E-18
monosaccharide metabolic process (GO:0005996)	202	20	4.36	+	4.58	2.60E-04
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	233	23	5.03	+	4.57	2.55E-05
positive regulation of proteolysis (GO:0045862)	367	36	7.93	+	4.54	9.79E-10
regulated exocytosis (GO:0045055)	694	68	14.99	+	4.54	4.35E-21
immune response-regulating signaling pathway (GO:0002764)	531	52	11.47	+	4.53	2.57E-15
regulation of cellular protein catabolic process (GO:1903362)	256	25	5.53	+	4.52	6.50E-06
immune response-activating signal transduction (GO:0002757)	500	48	10.80	+	4.44	1.43E-13
protein export from nucleus (GO:0006611)	146	14	3.15	+	4.44	4.31E-02
maintenance of location (GO:0051235)	147	14	3.18	+	4.41	4.66E-02
regulation of viral process (GO:0050792)	263	25	5.68	+	4.40	1.11E-05
regulation of organ morphogenesis (GO:2000027)	254	24	5.49	+	4.37	2.67E-05
regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)	286	27	6.18	+	4.37	2.80E-06
negative regulation of mitotic cell cycle (GO:0045930)	265	25	5.72	+	4.37	1.29E-05
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	287	27	6.20	+	4.36	3.02E-06
multicellular organismal homeostasis (GO:0048871)	279	26	6.03	+	4.31	7.80E-06
regulation of defense response (GO:0031347)	690	64	14.90	+	4.29	2.08E-18
response to tumor necrosis factor (GO:0034612)	248	23	5.36	+	4.29	7.98E-05
nuclear export (GO:0051168)	162	15	3.50	+	4.29	3.04E-02
proteasomal protein catabolic process (GO:0010498)	295	27	6.37	+	4.24	5.41E-06
posttranscriptional regulation of gene expression (GO:0010608)	471	43	10.17	+	4.23	4.17E-11
regulation of mitotic cell cycle phase transition (GO:1901990)	318	29	6.87	+	4.22	1.35E-06
activation of immune response (GO:0002253)	549	50	11.86	+	4.22	2.36E-13
establishment of protein localization to organelle (GO:0072594)	385	35	8.32	+	4.21	1.79E-08
exocytosis (GO:0006887)	783	71	16.91	+	4.20	2.87E-20
negative regulation of Wnt signaling pathway (GO:0030178)	199	18	4.30	+	4.19	4.61E-03
regulation of cell-substrate adhesion (GO:0010810)	180	16	3.89	+	4.12	2.42E-02
negative regulation of transferase activity (GO:0051348)	363	32	7.84	+	4.08	3.50E-07
positive regulation of protein catabolic process (GO:0045732)	262	23	5.66	+	4.06	2.14E-04
single organismal cell-cell adhesion (GO:0016337)	240	21	5.18	+	4.05	9.13E-04
regulation of canonical Wnt signaling pathway (GO:0060828)	240	21	5.18	+	4.05	9.13E-04
regulation of protein catabolic process (GO:0042176)	385	33	8.32	+	3.97	3.53E-07
regulation of cell cycle phase transition (GO:1901987)	339	29	7.32	+	3.96	5.72E-06
MAPK cascade (GO:0000165)	376	32	8.12	+	3.94	8.35E-07
protein polyubiquitination (GO:0000209)	284	24	6.13	+	3.91	2.16E-04
protein localization to organelle (GO:0033365)	597	50	12.90	+	3.88	6.19E-12
positive regulation of cellular catabolic process (GO:0031331)	359	30	7.75	+	3.87	4.96E-06
leukocyte mediated immunity (GO:0002443)	730	61	15.77	+	3.87	3.27E-15
single organism cell adhesion (GO:0098602)	266	22	5.75	+	3.83	1.18E-03
response to decreased oxygen levels (GO:0036293)	339	28	7.32	+	3.82	2.40E-05
response to peptide hormone (GO:0043434)	364	30	7.86	+	3.82	6.80E-06
positive regulation of defense response (GO:0031349)	379	31	8.19	+	3.79	4.23E-06
response to oxygen levels (GO:0070482)	355	29	7.67	+	3.78	1.59E-05
positive regulation of protein complex assembly (GO:0031334)	210	17	4.54	+	3.75	4.06E-02
immune effector process (GO:0002252)	1001	81	21.62	+	3.75	1.51E-20
negative regulation of protein modification process (GO:0031400)	584	47	12.61	+	3.73	2.03E-10
viral process (GO:0016032)	833	67	17.99	+	3.72	3.42E-16
ribose phosphate metabolic process (GO:0019693)	386	31	8.34	+	3.72	6.49E-06
multi-organism cellular process (GO:0044764)	839	67	18.12	+	3.70	4.93E-16
symbiosis, encompassing mutualism through parasitism (GO:0044403)	880	70	19.01	+	3.68	8.02E-17
interspecies interaction between organisms (GO:0044419)	882	70	19.05	+	3.67	9.05E-17
single-organism intracellular transport (GO:1902582)	517	41	11.17	+	3.67	1.59E-08
response to hypoxia (GO:0001666)	331	26	7.15	+	3.64	2.38E-04
purine ribonucleotide metabolic process (GO:0009150)	357	28	7.71	+	3.63	7.18E-05
intracellular protein transport (GO:0006886)	842	66	18.19	+	3.63	2.47E-15
cell activation (GO:0001775)	1021	80	22.05	+	3.63	2.21E-19
positive regulation of immune response (GO:0050778)	690	54	14.90	+	3.62	6.38E-12
ribonucleotide metabolic process (GO:0009259)	372	29	8.04	+	3.61	4.42E-05
generation of precursor metabolites and energy (GO:0006091)	309	24	6.67	+	3.60	9.98E-04
leukocyte activation (GO:0045321)	876	68	18.92	+	3.59	1.09E-15
muscle system process (GO:0003012)	285	22	6.16	+	3.57	3.71E-03
viral life cycle (GO:0019058)	299	23	6.46	+	3.56	2.16E-03
regulation of immune response (GO:0050776)	990	76	21.38	+	3.55	1.07E-17
secretion by cell (GO:0032940)	964	74	20.82	+	3.55	3.97E-17
signal transduction by protein phosphorylation (GO:0023014)	422	32	9.12	+	3.51	1.36E-05
response to drug (GO:0042493)	411	31	8.88	+	3.49	2.78E-05
regulation of response to stress (GO:0080134)	1319	99	28.49	+	3.47	1.15E-23
response to oxidative stress (GO:0006979)	360	27	7.78	+	3.47	3.26E-04
purine nucleotide metabolic process (GO:0006163)	375	28	8.10	+	3.46	2.00E-04
regulation of intracellular protein transport (GO:0033157)	376	28	8.12	+	3.45	2.11E-04
positive regulation of intracellular transport (GO:0032388)	296	22	6.39	+	3.44	6.87E-03
positive regulation of catabolic process (GO:0009896)	418	31	9.03	+	3.43	4.09E-05
regulation of proteolysis (GO:0030162)	715	53	15.44	+	3.43	1.04E-10
positive regulation of intracellular protein transport (GO:0090316)	258	19	5.57	+	3.41	4.36E-02
regulation of protein targeting (GO:1903533)	299	22	6.46	+	3.41	8.09E-03
regulation of multi-organism process (GO:0043900)	381	28	8.23	+	3.40	2.77E-04
response to peptide (GO:1901652)	411	30	8.88	+	3.38	1.03E-04
single-organism cellular localization (GO:1902580)	663	48	14.32	+	3.35	4.68E-09
phagocytosis (GO:0006909)	277	20	5.98	+	3.34	3.30E-02
regulation of apoptotic signaling pathway (GO:2001233)	375	27	8.10	+	3.33	7.30E-04
regulation of catabolic process (GO:0009894)	750	54	16.20	+	3.33	1.82E-10
regulation of cellular catabolic process (GO:0031329)	625	45	13.50	+	3.33	3.13E-08
cell-cell signaling by wnt (GO:0198738)	348	25	7.52	+	3.33	2.29E-03
Wnt signaling pathway (GO:0016055)	348	25	7.52	+	3.33	2.29E-03
secretion (GO:0046903)	1072	76	23.16	+	3.28	9.90E-16
regulation of cellular protein localization (GO:1903827)	580	41	12.53	+	3.27	5.18E-07
intracellular transport (GO:0046907)	1344	95	29.03	+	3.27	1.22E-20
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	514	36	11.10	+	3.24	1.02E-05
single-organism carbohydrate metabolic process (GO:0044723)	357	25	7.71	+	3.24	3.63E-03
negative regulation of protein metabolic process (GO:0051248)	1058	73	22.85	+	3.19	2.48E-14
regulation of immune system process (GO:0002682)	1436	99	31.02	+	3.19	6.44E-21
positive regulation of immune system process (GO:0002684)	990	68	21.38	+	3.18	5.23E-13
regulation of mitotic cell cycle (GO:0007346)	511	35	11.04	+	3.17	3.05E-05
response to wounding (GO:0009611)	555	38	11.99	+	3.17	6.42E-06
purine-containing compound metabolic process (GO:0072521)	411	28	8.88	+	3.15	1.28E-03
positive regulation of transferase activity (GO:0051347)	648	44	14.00	+	3.14	3.54E-07
negative regulation of cellular protein metabolic process (GO:0032269)	992	67	21.43	+	3.13	2.06E-12
skin development (GO:0043588)	372	25	8.04	+	3.11	7.57E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	477	32	10.30	+	3.11	2.32E-04
regulation of immune effector process (GO:0002697)	328	22	7.08	+	3.11	3.51E-02
cell-cell adhesion (GO:0098609)	433	29	9.35	+	3.10	1.09E-03
mitochondrion organization (GO:0007005)	405	27	8.75	+	3.09	3.23E-03
wound healing (GO:0042060)	465	31	10.04	+	3.09	4.41E-04
epidermis development (GO:0008544)	407	27	8.79	+	3.07	3.55E-03
vesicle-mediated transport (GO:0016192)	1768	117	38.19	+	3.06	3.42E-24
modification-dependent protein catabolic process (GO:0019941)	484	32	10.45	+	3.06	3.23E-04
protein catabolic process (GO:0030163)	605	40	13.07	+	3.06	6.06E-06
cellular response to cytokine stimulus (GO:0071345)	636	42	13.74	+	3.06	2.30E-06
regulation of intracellular transport (GO:0032386)	502	33	10.84	+	3.04	2.25E-04
modification-dependent macromolecule catabolic process (GO:0043632)	490	32	10.58	+	3.02	4.25E-04
regulation of protein complex assembly (GO:0043254)	383	25	8.27	+	3.02	1.26E-02
nucleotide metabolic process (GO:0009117)	506	33	10.93	+	3.02	2.70E-04
cellular protein localization (GO:0034613)	1351	88	29.18	+	3.02	1.70E-16
cellular macromolecule localization (GO:0070727)	1361	88	29.40	+	2.99	2.72E-16
positive regulation of cell adhesion (GO:0045785)	387	25	8.36	+	2.99	1.51E-02
establishment of protein localization (GO:0045184)	1502	97	32.44	+	2.99	2.20E-18
nucleoside phosphate metabolic process (GO:0006753)	512	33	11.06	+	2.98	3.54E-04
establishment of localization in cell (GO:0051649)	1552	100	33.52	+	2.98	4.97E-19
protein transport (GO:0015031)	1390	89	30.02	+	2.96	2.96E-16
regulation of endopeptidase activity (GO:0052548)	375	24	8.10	+	2.96	2.84E-02
negative regulation of immune system process (GO:0002683)	375	24	8.10	+	2.96	2.84E-02
supramolecular fiber organization (GO:0097435)	376	24	8.12	+	2.96	2.97E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	533	34	11.51	+	2.95	2.81E-04
nucleobase-containing small molecule metabolic process (GO:0055086)	566	36	12.23	+	2.94	1.18E-04
regulation of cell cycle process (GO:0010564)	583	37	12.59	+	2.94	7.78E-05
cellular protein catabolic process (GO:0044257)	552	35	11.92	+	2.94	2.03E-04
positive regulation of cellular protein localization (GO:1903829)	379	24	8.19	+	2.93	3.39E-02
peptide transport (GO:0015833)	1413	89	30.52	+	2.92	8.36E-16
response to cytokine (GO:0034097)	731	46	15.79	+	2.91	1.45E-06
endocytosis (GO:0006897)	605	38	13.07	+	2.91	6.38E-05
regulation of transferase activity (GO:0051338)	977	61	21.10	+	2.89	1.56E-09
response to hormone (GO:0009725)	770	48	16.63	+	2.89	7.71E-07
amide transport (GO:0042886)	1436	89	31.02	+	2.87	2.31E-15
response to inorganic substance (GO:0010035)	454	28	9.81	+	2.86	8.91E-03
negative regulation of phosphorylation (GO:0042326)	427	26	9.22	+	2.82	2.71E-02
negative regulation of cell cycle (GO:0045786)	529	32	11.43	+	2.80	2.29E-03
cellular response to growth factor stimulus (GO:0071363)	466	28	10.07	+	2.78	1.46E-02
positive regulation of cell death (GO:0010942)	617	37	13.33	+	2.78	3.25E-04
regulation of cellular response to stress (GO:0080135)	603	36	13.02	+	2.76	5.56E-04
negative regulation of catalytic activity (GO:0043086)	856	51	18.49	+	2.76	9.16E-07
